CountryNAe,Region,IncomeGrp,Gender,CleanCook,Refugee,CO2,Fertility,ForestArea,Energy,Output,PopBelow,LegalRights
Mongolia,AP,2.LM,1,42.8,8,7.12732635,2.757,8.01740488,1838.23946,3.08362053,,5
Montenegro,EUR,3.UM,0,69.35,974,3.55607179,1.667,61.4869888,1538.2641,49.6503497,,12
Morocco,AS,2.LM,,96.75,4771,1.74437997,2.491,12.6013892,553.103958,14.3088903,1.38035424,2
Mozambique,AF,1.L,,3.69,4671,0.30966661,5.243,47.9839283,427.598363,86.4108874,5.24598095,1
Myanmar,AP,1.L,1,18.4,,0.41660036,2.207,43.6311013,371.868911,58.8541014,10.972568,2
naibia,AF,3.UM,1,42.2,1757,1.58372867,3.415,8.31395961,761.61497,97.7864583,1.0895429,5
NAuru,AP,,,91.33,506,4.02185101,,0,,0.39840637,7.61307401,
Nepal,AP,1.L,1,27.62,25249,0.28353853,2.118,25.3644925,412.724483,100,,6
Netherlands,EUR,4.H,1,100,101744,9.92013808,1.66,11.1783914,4325.52371,12.4420823,58.5061648,2
New Caledonia,AP,4.H,,,,16.0059317,2.08,45.8971554,,14.0947087,13.9976521,
New Zealand,AP,4.H,1,100,1421,7.68657583,1.87,38.5560753,4559.89223,80.0814388,4.23257949,12
Nicaragua,SLA,2.LM,1,52.3,331,0.80852086,2.2,25.8766827,609.007121,50.0545971,0.85452823,1
Niger,AF,1.L,1,1.91,166093,0.11107352,7.239,0.89176599,150.734123,0.75329567,,6
Nigeria,AF,2.LM,1,4.91,1367,0.54562211,5.526,7.22838906,763.391368,18.1951251,2.66712025,6
Northern MariaNA Islands,AP,,,,,,,63.782609,,0,1.85220231,
Norway,EUR,4.H,,100,59522,9.27094513,1.72,33.1778599,5595.65462,97.7098706,3.85093944,5
Oman,AS,4.H,1,95.22,317,15.4431672,2.666,0.00646204,6141.7732,0,5.65235296,1
Pacific island small states,AP,,,27.4745603,526,1.06414969,3.20771932,61.5552944,,30.3015625,5.6713087,8.33333333
Pakistan,AP,2.LM,1,43.32,1352560,0.89626411,3.481,1.85372561,484.445218,31.4303497,1.06488829,2
Palau,AP,3.UM,1,86.9,1,12.3427041,,87.608694,,0,3.45391633,10
Panaa,SLA,3.UM,1,89.01,17350,2.25431136,2.514,61.8859308,1079.13015,65.3263403,3.00957705,7
Papua New Guinea,AP,2.LM,,13.43,9536,0.81464881,3.658,74.0983951,,34.5306513,0.48748761,9
Paraguay,SLA,2.LM,0,66.22,204,0.87021929,2.48,37.7488034,788.689622,99.9982061,,1
Peru,SLA,3.UM,1,75.06,1649,1.99348595,2.4,57.6604675,767.689511,52.7305134,0.91531221,7
Philippines,AP,2.LM,,43.22,408,1.05545685,2.925,27.7693933,476.244725,25.4134663,5.65128794,1
Poland,EUR,4.H,0,100,11747,7.51715158,1.32,30.883439,2473.40688,13.8023987,1.74710545,7
Portugal,EUR,4.H,0,100,1194,4.33155403,1.31,34.6114238,2034.51263,47.5263743,3.62595794,2
Puerto Rico,SLA,4.H,1,,,,1.3,56.2863596,,1.83744648,8.91276448,11
Qatar,AS,4.H,1,98.49,177,45.42324,1.907,0,18562.6669,0,12.8290713,1
Romania,EUR,3.UM,0,85.88,2905,3.51615369,1.58,30.1208284,1591.66766,39.7469737,1.95149993,9
Russian Federation,EUR,4.H,,98.25,228990,11.8575278,1.75,49.7585619,4942.87552,15.8557952,1.20662879,7
Rwanda,AF,1.L,1,0.57,156065,0.07401645,3.885,19.7324681,,56.8878282,,10
Samoa,AP,2.LM,1,32.29,3,1.02978834,3.976,60.4240283,,30.3504847,1.44459699,5
San Marino,EUR,4.H,,100,,,,0,,0,0,1
Sao Tome and Principe,AF,2.LM,,16.81,,0.59433982,4.456,55.8333317,,10.4734577,1.32085945,0
Saudi Arabia,AS,4.H,,95.96,140,19.5292718,2.532,0.45448413,6937.23068,0.00029556,5.19934086,1
Senegal,AF,2.LM,0,31.65,14584,0.60880912,4.769,42.7621669,272.082002,10.4171934,10.0575765,6
Serbia,EUR,3.UM,1,76.41,36522,5.28252192,1.46,31.1159376,1859.42889,26.9051736,,6
Seychelles,AF,3.UM,0,90.36,2,5.41867796,2.78,88.4130395,,2.38095238,16.6371645,2
Sierra Leone,AF,1.L,1,0.99,683,0.1849257,4.457,43.0534788,,60.9756098,3.78706395,5
Singapore,AP,4.H,0,100,,10.3063319,1.2,23.0606488,5121.80432,1.82088664,10.3320706,8
Sint Maarten (Dutch part),,4.H,,,3,19.4613241,,,,0,,
Slovak Republic,EUR,4.H,1,96.58,990,5.66158133,1.4,40.3535764,2943.18916,22.6794833,,7
Slovenia,EUR,4.H,,96.17,462,6.21368684,1.57,61.970012,3236.23604,29.3919147,0.75648258,3
Solomon Islands,AP,2.LM,1,8.45,,0.35044935,3.85,77.8635192,,2.26263044,2.85679733,10
Somalia,AS,1.L,,2.34,11574,0.04504672,6.267,10.0204039,,0,2.5002989,0
South Africa,AF,3.UM,1,84.75,91043,8.9801193,2.458,7.61773652,2695.73376,2.25504183,0.1645183,5
South Asia,AP,,,38.590552,1912242,1.4614734,2.45961421,17.5058635,576.130819,16.8677993,3.11035943,4.5
South Sudan,AF,2.LM,1,0.64,262560,0.12974935,4.855,,60.7261956,0.60606061,,2
Spain,EUR,4.H,1,100,12989,5.03382449,1.33,36.9362095,2464.64129,34.9498906,4.37661497,5
Sri Lanka,AP,2.LM,1,26.33,604,0.88554581,2.046,32.9038415,515.684753,48.4751934,2.97964731,2
St. Kitts and Nevis,SLA,4.H,1,100,,4.2989449,,42.3076923,,4.5716822,3.89468574,5
St. Lucia,SLA,3.UM,1,97.23,2,2.30719132,1.459,33.1803275,,0,1.61421012,5
St. Martin (French part),SLA,4.H,,,,,1.81,,,0,,
St. Vincent and the GreNAdines,SLA,3.UM,1,95.98,,1.91134541,1.931,69.2307692,,15.6626506,3.71025897,5
Sudan,AS,2.LM,1,41.29,421466,0.2997326,4.532,,380.873841,64.5359086,0.30360557,3
Surinae,SLA,3.UM,1,89.61,1,3.63401943,2.372,98.2576936,1259.4903,60.0531444,56.1884976,2
Sweden,EUR,4.H,,100,230164,4.47818218,1.85,68.9229334,4966.43592,63.2627477,3.73696184,6
Switzerland,EUR,4.H,1,100,82681,4.31156299,1.54,31.8301452,3059.93675,62.1979818,0,6
Syrian Arab Republic,AP,2.LM,1,99.02,562823,1.59889846,2.916,2.67385503,562.535404,2.30971422,0.13213506,1
Tajikistan,AP,1.L,,80.41,2729,0.62046672,3.36,2.97139559,335.385451,98.4733714,,1
Tanzania,AF,1.L,1,2.16,281498,0.22134737,5.016,51.5782344,475.42696,34.1540905,0.71018394,5
Thailand,AP,3.UM,1,74.43,106447,4.62186003,1.482,32.1576073,1969.63366,8.53847885,10.3418564,3
Timor-Leste,AP,2.LM,1,6.92,,0.387014,5.503,45.3799588,,0,0.9350375,0
Togo,AF,1.L,,6.71,12491,0.36269689,4.45,3.09248018,456.674204,75.308642,3.61000113,6
Tonga,AP,3.UM,,59.17,,1.14396589,3.636,12.5,,5.90740908,7.52886414,10
Trinidad and Tobago,SLA,4.H,1,99.26,109,34.1632426,1.752,46.023393,14446.7494,0,2.90721626,7
Tunisia,AS,3.UM,1,99.1,649,2.58705958,2.201,6.76622008,943.607036,2.83594226,8.51559024,3
Turkey,EUR,3.UM,1,,2869421,4.49147903,2.053,15.3546514,1577.82798,31.9566206,1.75587269,2
Turkmenistan,AP,3.UM,,99.32,27,12.5172953,2.888,8.78215904,4893.4875,0,,
Turks and Caicos Islands,SLA,4.H,,,4,6.08648745,,36.2105279,,0,48.3539585,
Tuvalu,AP,3.UM,,50.42,,1.00852585,,33.3333333,,28.1690141,47.466961,
Uganda,AF,1.L,1,0.77,940835,0.134656,5.591,9.68382231,,92.950527,,5
Ukraine,EUR,2.LM,,95.73,3302,5.02074706,1.466,16.7080388,2334.4072,4.3816468,1.80094446,8
